VertexCount,EdgeDensity,Representation,Time
20,0.1,Matrix,0.0039315000000000044
20,0.1,List,0.007306499999999991
20,0.2,List,0.007995500000000008
20,0.2,Matrix,0.003910499999999992
20,0.30000000000000004,Matrix,0.004473999999999997
20,0.30000000000000004,List,0.008740499999999998
20,0.4,Matrix,0.004062500000000008
20,0.4,List,0.007318999999999991
20,0.5,List,0.007631499999999991
20,0.5,Matrix,0.0044669999999999935
20,0.6,List,0.008243000000000006
20,0.6,Matrix,0.004780499999999999
20,0.7,List,0.009126000000000007
20,0.7,Matrix,0.005199000000000005
20,0.7999999999999999,Matrix,0.0054160000000000015
20,0.7999999999999999,List,0.0091815
20,0.8999999999999999,List,0.009149000000000001
20,0.8999999999999999,Matrix,0.0051360000000000025
20,0.9999999999999999,List,0.012616999999999996
20,0.9999999999999999,Matrix,0.008297499999999987
30,0.1,List,0.008955000000000017
30,0.1,Matrix,0.005217000000000011
30,0.2,Matrix,0.008002500000000004
30,0.2,List,0.014075999999999993
30,0.30000000000000004,List,0.011251500000000001
30,0.30000000000000004,Matrix,0.006950499999999982
30,0.4,List,0.013060500000000001
30,0.4,Matrix,0.00782450000000002
30,0.5,List,0.013410500000000006
30,0.5,Matrix,0.008454999999999992
30,0.6,List,0.016503999999999998
30,0.6,Matrix,0.010129000000000008
30,0.7,Matrix,0.009683500000000027
30,0.7,List,0.015436999999999994
30,0.7999999999999999,List,0.0167495
30,0.7999999999999999,Matrix,0.010117000000000018
30,0.8999999999999999,Matrix,0.010096500000000013
30,0.8999999999999999,List,0.01677650000000001
30,0.9999999999999999,Matrix,0.010069000000000019
30,0.9999999999999999,List,0.017322499999999998
40,0.1,List,0.014888000000000004
40,0.1,Matrix,0.008918999999999996
40,0.2,List,0.016295000000000004
40,0.2,Matrix,0.01007400000000002
40,0.30000000000000004,Matrix,0.01255400000000001
40,0.30000000000000004,List,0.029062999999999985
40,0.4,Matrix,0.013465999999999999
40,0.4,List,0.021404500000000007
40,0.5,List,0.025060000000000006
40,0.5,Matrix,0.014665000000000006
40,0.6,Matrix,0.023094999999999997
40,0.6,List,0.042200499999999995
40,0.7,Matrix,0.026304000000000008
40,0.7,List,0.050842499999999985
40,0.7999999999999999,Matrix,0.027439499999999985
40,0.7999999999999999,List,0.05151599999999999
40,0.8999999999999999,List,0.05456849999999999
40,0.8999999999999999,Matrix,0.027438000000000004
40,0.9999999999999999,Matrix,0.028533999999999993
40,0.9999999999999999,List,0.05548649999999997
50,0.1,List,0.02451300000000002
50,0.1,Matrix,0.014105000000000008
50,0.2,List,0.03323899999999999
50,0.2,Matrix,0.018871000000000006
50,0.30000000000000004,List,0.04374999999999998
50,0.30000000000000004,Matrix,0.024095000000000005
50,0.4,List,0.046087999999999976
50,0.4,Matrix,0.026196999999999984
50,0.5,Matrix,0.02973100000000001
50,0.5,List,0.053301500000000016
50,0.6,List,0.06070949999999998
50,0.6,Matrix,0.03432150000000001
50,0.7,Matrix,0.03829250000000001
50,0.7,List,0.0721185
50,0.7999999999999999,List,0.07843700000000002
50,0.7999999999999999,Matrix,0.04162449999999998
50,0.8999999999999999,List,0.0783825
50,0.8999999999999999,Matrix,0.040846
50,0.9999999999999999,List,0.08127799999999999
50,0.9999999999999999,Matrix,0.041910999999999976
60,0.1,List,0.034536000000000004
60,0.1,Matrix,0.022161499999999994
60,0.2,List,0.042711
60,0.2,Matrix,0.025495499999999994
60,0.30000000000000004,Matrix,0.030864500000000003
60,0.30000000000000004,List,0.05257449999999999
60,0.4,List,0.07519700000000001
60,0.4,Matrix,0.043868500000000005
60,0.5,List,0.04599700000000003
60,0.5,Matrix,0.030623499999999977
60,0.6,Matrix,0.032076499999999994
60,0.6,List,0.04829149999999999
60,0.7,List,0.049890500000000025
60,0.7,Matrix,0.03307499999999998
60,0.7999999999999999,Matrix,0.032921999999999986
60,0.7999999999999999,List,0.051056500000000025
60,0.8999999999999999,List,0.05325250000000002
